X,Y,id,o_tribe,n_tribe
121.188617460536,24.020830247428,1,馬赫坡社,清流部落
121.169933060074,24.0381840085033,2,斯庫社,清流部落
121.170565090534,24.032231319186,3,荷戈社,清流部落
121.184074741608,24.0366688046631,4,波阿龍社,清流部落
121.17084160386,24.0223095575026,5,塔羅灣社,清流部落
121.143743297905,24.0299584014197,6,羅多夫社,清流部落
